All Companies,Screener,Symbol,Lot Size (Feb 2026),Lot Size (Mar 2026),Lot Size (Apr 2026)
Laurus Labs,https://scanx.trade/company/lauruslabs,LAURUSLABS,850,850,850
LIC Housing Finance,https://scanx.trade/company/lichsgfin,LICHSGFIN,1000,1000,1000
LIC of India,https://scanx.trade/company/lici,LICI,700,700,700
Lodha Developers,https://scanx.trade/company/lodha,LODHA,450,450,450
Larsen & Toubro,https://scanx.trade/company/lt,LT,175,175,175
L&T Finance,https://scanx.trade/company/ltf,LTF,2250,2250,2250
LTI Mindtree,https://scanx.trade/company/ltim,LTIM,150,150,150
LTM (L&T Technology),https://scanx.trade/company/ltm,LTM,150,150,150
Lupin,https://scanx.trade/company/lupin,LUPIN,425,425,425
Mahindra & Mahindra,https://scanx.trade/company/m&m,M&M,200,200,200
Manappuram Finance,https://scanx.trade/company/manappuram,MANAPPURAM,3000,3000,3000
Mankind Pharma,https://scanx.trade/company/mankind,MANKIND,225,225,225
Marico,https://scanx.trade/company/marico,MARICO,1200,1200,1200
Maruti Suzuki,https://scanx.trade/company/maruti,MARUTI,50,50,50
